"id","type","content","order","created_at","updated_at"
36,"be_facilitator_benefits","Experiência como facilitador de uma startup",4,"2021-06-14 11:34:29","2021-06-14 11:34:29"
37,"be_facilitator_benefits","Participação no ecossistema de inovação da Bluefields",5,"2021-06-14 11:34:31","2021-06-14 11:34:31"
38,"be_facilitator_benefits","Visibilidade profissional",6,"2021-06-14 11:34:36","2021-06-14 11:34:36"
39,"be_facilitator_benefits","Receber $ por isso",7,"2021-06-14 11:34:39","2021-06-14 11:34:39"
40,"step_facilitator","Imersão no mundo Blue",1,"2021-06-14 11:35:48","2021-06-14 11:35:48"
41,"step_facilitator","Callnhecer",2,"2021-06-14 11:35:48","2021-06-14 11:35:48"
42,"step_facilitator","Aprender com quem já fez (estudar materiais, assistir facilitações do tema)",3,"2021-06-14 11:35:48","2021-06-14 11:35:48"
43,"step_facilitator","Provar que sabe (demonstrar a facilitação em 20min)",4,"2021-06-14 11:35:48","2021-06-14 11:35:48"
44,"step_facilitator","Ação! Hora de facilitar!",5,"2021-06-14 11:35:48","2021-06-14 11:35:48"
45,"step_facilitator_video_url","",1,"2021-06-14 11:36:57","2021-06-14 11:36:57"
46,"step_mentor_video_url","",1,"2021-06-14 11:37:11","2021-06-14 11:37:11"
47,"be_mentor_title","Seja um mentor!",1,"2021-06-14 11:37:34","2021-06-14 11:37:34"
48,"be_mentor_description","",1,"2021-06-14 11:37:48","2021-06-14 11:37:48"
49,"be_mentor_benefits","Participação em nossos Sprints de aceleração na faixa",1,"2021-06-14 11:37:51","2021-06-14 11:37:51"
50,"be_mentor_benefits","Benefícios da nossa rede de parceiros, networking e oportunidades de negócio",2,"2021-06-14 11:37:53","2021-06-14 11:37:53"
51,"be_mentor_benefits","Acesso à metodologias como Design Sprint e conteúdo startupeiro",3,"2021-06-14 11:37:54","2021-06-14 11:37:54"
52,"be_mentor_benefits","Experiência como mentor de uma startup",4,"2021-06-14 11:37:56","2021-06-14 11:37:56"
53,"be_mentor_benefits","Participação no ecossistema de inovação da Bluefields",5,"2021-06-14 11:37:57","2021-06-14 11:37:57"
54,"be_mentor_benefits","Visibilidade profissional",6,"2021-06-14 11:37:59","2021-06-14 11:37:59"
55,"step_mentor","Avaliação de perfil",1,"2021-06-14 11:39:16","2021-06-14 11:39:16"
56,"step_mentor","Callnhecer",2,"2021-06-14 11:39:23","2021-06-14 11:39:23"
57,"step_mentor","Ação! Hora da mentoria voluntária!",3,"2021-06-14 11:39:25","2021-06-14 11:39:25"
58,"softskills_title","SoftSkills",1,"2021-06-14 11:40:17","2021-06-14 11:40:17"
59,"softskills_description","",1,"2021-06-14 11:40:23","2021-06-14 11:40:23"
60,"hardskills_title","HardSkills",1,"2021-06-14 11:40:32","2021-06-14 11:40:32"
61,"hardskills_description","Temas que você pode atuar",1,"2021-06-14 11:40:44","2021-06-14 11:40:44"
62,"softskills_item","Comunicação eficaz e dinâmica",1,"2021-06-14 11:40:46","2021-06-14 11:40:46"
63,"softskills_item","Jogo de cintura",2,"2021-06-14 11:40:47","2021-06-14 11:40:47"
64,"softskills_item","Relacionamento interpessoal e Empatia",3,"2021-06-14 11:40:48","2021-06-14 11:40:48"
65,"softskills_item","Flexibilidade e resiliência",4,"2021-06-14 11:40:59","2021-06-14 11:40:59"
66,"hardskills_item","MKT&Vendas",1,"2021-06-14 11:41:01","2021-06-14 11:41:01"
67,"hardskills_item","Design Sprint",2,"2021-06-14 11:41:02","2021-06-14 11:41:02"
68,"hardskills_item","MVP + Tecnologia",3,"2021-06-14 11:41:03","2021-06-14 11:41:03"
69,"hardskills_item","Pitch para investidor",4,"2021-06-14 11:41:05","2021-06-14 11:41:05"
70,"hardskills_item","Identidade de startup",5,"2021-06-14 11:41:06","2021-06-14 11:41:06"
71,"hardskills_item","User Experience/Customer Experience",6,"2021-06-14 11:41:07","2021-06-14 11:41:07"
72,"hardskills_item","Employee Experience",7,"2021-06-14 11:41:08","2021-06-14 11:41:08"
73,"hardskills_item","Impacto socioambiental",8,"2021-06-14 11:41:09","2021-06-14 11:41:09"
74,"hardskills_item","Finanças",9,"2021-06-14 11:41:10","2021-06-14 11:41:10"
75,"hardskills_item","OKR",10,"2021-06-14 11:41:11","2021-06-14 11:41:11"
76,"hardskills_item","Metodologias ágeis",11,"2021-06-14 11:41:12","2021-06-14 11:41:12"
77,"hardskills_item","Kingdom Business",12,"2021-06-14 11:41:13","2021-06-14 11:41:13"
78,"team_person_name","Sofia Assis",1,"2021-06-14 11:45:46","2021-06-14 11:45:46"
79,"team_person_linkedin","https://www.linkedin.com/mwlite/in/sofia-asis-50238797",1,"2021-06-14 11:45:51","2021-06-14 11:45:51"
80,"team_person_function","Meios de pagamento",1,"2021-06-14 11:45:57","2021-06-14 11:45:57"
81,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/sofia-assis.jpg",1,"2021-06-14 11:45:59","2021-06-14 11:45:59"
82,"team_person_name","Alex",2,"2021-06-14 11:58:10","2021-06-14 11:58:10"
83,"team_person_linkedin","https://www.linkedin.com/in/alexfalararo/",2,"2021-06-14 11:58:10","2021-06-14 11:58:10"
84,"team_person_function","Pitch para investidor",2,"2021-06-14 11:58:10","2021-06-14 11:58:10"
85,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/alex.jpg",2,"2021-06-14 11:58:10","2021-06-14 11:58:10"
86,"team_person_name","Dennis Reis",3,"2021-06-14 11:58:10","2021-06-14 11:58:10"
87,"team_person_linkedin","https://www.linkedin.com/in/dennismarquesreis/",3,"2021-06-14 11:58:10","2021-06-14 11:58:10"
88,"team_person_function","TI",3,"2021-06-14 11:58:10","2021-06-14 11:58:10"
89,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/dennis-reis.jpg",3,"2021-06-14 11:58:10","2021-06-14 11:58:10"
90,"team_person_name","Débora Cordeiro",4,"2021-06-14 11:58:10","2021-06-14 11:58:10"
91,"team_person_linkedin","https://www.linkedin.com/in/enfermeiradeboracordeiro/",4,"2021-06-14 11:58:10","2021-06-14 11:58:10"
92,"team_person_function","Design Sprint",4,"2021-06-14 11:58:10","2021-06-14 11:58:10"
93,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/debora-cordeiro.jpg",4,"2021-06-14 11:58:10","2021-06-14 11:58:10"
94,"team_person_name","Fábio Carelli",5,"2021-06-14 11:58:10","2021-06-14 11:58:10"
95,"team_person_linkedin","https://www.linkedin.com/in/fabio-dudus-carelli/",5,"2021-06-14 11:58:10","2021-06-14 11:58:10"
96,"team_person_function","Kingdom Business",5,"2021-06-14 11:58:10","2021-06-14 11:58:10"
97,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/fabio-carelli.jpg",5,"2021-06-14 11:58:10","2021-06-14 11:58:10"
98,"team_person_name","Felipe Traina",6,"2021-06-14 11:58:10","2021-06-14 11:58:10"
99,"team_person_linkedin","https://www.linkedin.com/in/felipe-traina/",6,"2021-06-14 11:58:10","2021-06-14 11:58:10"
100,"team_person_function","Mkt&Vendas e Metodologias ágeis",6,"2021-06-14 11:58:10","2021-06-14 11:58:10"
101,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/felipe-traina.jpg",6,"2021-06-14 11:58:10","2021-06-14 11:58:10"
102,"team_person_name","Fernando Sérgio",7,"2021-06-14 11:58:10","2021-06-14 11:58:10"
103,"team_person_linkedin","https://www.linkedin.com/in/fernandosergio/",7,"2021-06-14 11:58:10","2021-06-14 11:58:10"
104,"team_person_function","UX",7,"2021-06-14 11:58:10","2021-06-14 11:58:10"
105,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/fernando-sergio.jpg",7,"2021-06-14 11:58:10","2021-06-14 11:58:10"
106,"team_person_name","Jeferson Silva",8,"2021-06-14 11:58:10","2021-06-14 11:58:10"
107,"team_person_linkedin","https://www.linkedin.com/in/jefersonrodrigodasilva/",8,"2021-06-14 11:58:10","2021-06-14 11:58:10"
108,"team_person_function","Marketing & Vendas",8,"2021-06-14 11:58:10","2021-06-14 11:58:10"
109,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/jeferson-silva.jpg",8,"2021-06-14 11:58:10","2021-06-14 11:58:10"
110,"team_person_name","Jéssica Mesquita",9,"2021-06-14 11:58:10","2021-06-14 11:58:10"
111,"team_person_linkedin","https://www.linkedin.com/in/jessica-mesquita-4a30828b/",9,"2021-06-14 11:58:10","2021-06-14 11:58:10"
112,"team_person_function","Equipes",9,"2021-06-14 11:58:10","2021-06-14 11:58:10"
113,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/jessica-mesquita.jpg",9,"2021-06-14 11:58:10","2021-06-14 11:58:10"
114,"team_person_name","João Victor",10,"2021-06-14 11:58:10","2021-06-14 11:58:10"
115,"team_person_linkedin","https://www.linkedin.com/in/joaovictordias/",10,"2021-06-14 11:58:10","2021-06-14 11:58:10"
116,"team_person_function","Inteligência artificial",10,"2021-06-14 11:58:10","2021-06-14 11:58:10"
117,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/joao-victor.jpg",10,"2021-06-14 11:58:10","2021-06-14 11:58:10"
118,"team_person_name","Juliana Mercês",11,"2021-06-14 11:58:10","2021-06-14 11:58:10"
119,"team_person_linkedin","https://www.linkedin.com/in/julianamerces/",11,"2021-06-14 11:58:10","2021-06-14 11:58:10"
120,"team_person_function","Equipes",11,"2021-06-14 11:58:10","2021-06-14 11:58:10"
121,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/ju-merces.jpg",11,"2021-06-14 11:58:10","2021-06-14 11:58:10"
122,"team_person_name","Lee Silva",12,"2021-06-14 11:58:10","2021-06-14 11:58:10"
123,"team_person_linkedin","https://www.linkedin.com/in/lee-johnny-silva-64847518/",12,"2021-06-14 11:58:10","2021-06-14 11:58:10"
124,"team_person_function","TI e MVP",12,"2021-06-14 11:58:10","2021-06-14 11:58:10"
125,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/lee-silva.jpg",12,"2021-06-14 11:58:10","2021-06-14 11:58:10"
126,"team_person_name","Lourenço de Pauli",13,"2021-06-14 11:58:10","2021-06-14 11:58:10"
127,"team_person_linkedin","https://www.linkedin.com/in/lourencodepauli/",13,"2021-06-14 11:58:10","2021-06-14 11:58:10"
128,"team_person_function","Marketing & Vendas",13,"2021-06-14 11:58:10","2021-06-14 11:58:10"
129,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/lourenco.jpg",13,"2021-06-14 11:58:10","2021-06-14 11:58:10"
130,"team_person_name","Marco Camara",14,"2021-06-14 11:58:10","2021-06-14 11:58:10"
131,"team_person_linkedin","https://www.linkedin.com/in/marco-camara-42608a24/",14,"2021-06-14 11:58:10","2021-06-14 11:58:10"
132,"team_person_function","Kingdom Business, Mkt&Vendas",14,"2021-06-14 11:58:10","2021-06-14 11:58:10"
133,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/marco-camara.jpg",14,"2021-06-14 11:58:10","2021-06-14 11:58:10"
134,"team_person_name","Rafael Medeiros",15,"2021-06-14 11:58:10","2021-06-14 11:58:10"
135,"team_person_linkedin","https://www.linkedin.com/in/rafael-medeiros-9331a192/",15,"2021-06-14 11:58:10","2021-06-14 11:58:10"
136,"team_person_function","Jurídico",15,"2021-06-14 11:58:10","2021-06-14 11:58:10"
137,"team_person_photo_url","https://bluefields.s3.us-east-2.amazonaws.com/images/rafael-medeiros.jpg",15,"2021-06-14 11:58:10","2021-06-14 11:58:10"
